dist,expr,repKO,rep,size,relcen,pos,cell,ori,genrep,type,Legend:,,
3.407,1,1,1,1029.038,0.427585341,3,6,1,4,3,,,
3.438,1,1,1,1570.184,0.370673854,1,11,1,4,3,,,
3.632,1,1,1,923.112,0.570083189,6,15,1,4,3,,,
3.69,1,1,1,1524.118,0.428720809,9,5,1,4,3,,,
3.957,1,1,1,1597.758,0.465913105,9,11,1,4,3,,,
4.3665,1,1,1,1302.394,0.538708284,1,5,1,4,3,,,
4.369,1,1,1,1996.43,0.394884309,3,4,1,4,3,,,
5.173,1,1,1,1644.502,0.592079661,1,12,1,4,3,,,
0.131,0,1,1,1193.689,0.014537787,1,13,1,4,2,,,
0.165,0,1,1,1402.255,0.025079799,5,12,1,4,2,,,
0.314,0,1,1,1044.983,0.070073644,2,3,1,4,2,,,
0.362,0,1,1,1005.983,0.049555099,10,1,1,4,2,,,
0.461,0,1,1,1199.395,0.06102727,5,9,1,4,2,,,
0.761,0,1,1,1110.955,0.107273752,10,3,1,4,2,,,
0.98,0,1,1,1472.322,0.118615347,7,2,1,4,2,,,
1.058,0,1,1,780.367,0.156093243,5,10,1,4,2,,,
1.079,0,1,1,1267.167,0.143809143,2,10,1,4,2,,,
1.278,0,1,1,1115.231,0.141090749,5,13,1,4,2,,,
1.433,0,1,1,1011.778,0.203377803,6,2,1,4,2,,,
1.556,0,1,1,1262.414,0.178460833,3,9,1,4,2,,,
1.74,0,1,1,1393.202,0.222193845,6,22,1,4,2,,,
1.752,0,1,1,865.163,0.245309437,2,2,1,4,2,,,
2.022,0,1,1,915.424,0.335212202,7,8,1,4,2,,,
2.088,0,1,1,1349.837,0.276483051,5,8,1,4,2,,,
2.195,0,1,1,1215.542,0.315464214,3,3,1,4,2,,,
2.22,0,1,1,1036.134,0.255055147,7,5,1,4,2,,,
2.699,0,1,1,847.469,0.466955017,2,4,1,4,2,,,
2.797,0,1,1,1343.569,0.362164962,6,4,1,4,2,,,
3.022,0,1,1,1649.59,0.38161384,6,19,1,4,2,,,
3.034,0,1,1,873.916,0.420338044,1,8,1,4,2,,,
3.197,0,1,1,1056.474,0.36370876,5,2,1,4,2,,,
3.333,0,1,1,1602.973,0.393320746,5,1,1,4,2,,,
-0.218,1,1,2,1133.752,-0.028631468,5,6,1,5,3,,,
-0.14,1,1,2,869.641,-0.019875071,1,2,1,5,3,,,
